generation,best_cost,avg_cost,worst_cost,best_coverage,avg_coverage,worst_coverage,best_distance,avg_distance,worst_distance,avg_sites,min_sites,max_sites
59,31421197.48677645,114467471.74880119,288825737.9047829,283.55934794938275,283.5593479493828,283.55934794938275,0.7473752993955902,0.996967427549193,1.723267487206924,27.12,8.0,65.0
60,31421197.48677645,113821772.21099314,288825737.9047829,283.55934794938275,283.5593479493828,283.55934794938275,0.7473752993955902,0.9986987416482926,1.723267487206924,27.0,8.0,65.0
61,31421197.48677645,112431684.60051605,288825737.9047829,283.55934794938275,283.5593479493828,283.55934794938275,0.7473752993955902,1.0014456909855587,1.723267487206924,26.8,8.0,65.0
62,31421197.48677645,115242945.87635127,288825737.9047829,283.55934794938275,283.5593479493828,283.55934794938275,0.7473752993955902,0.9922587922236723,1.723267487206924,27.36,8.0,65.0
63,31421197.48677645,118292024.34639712,288825737.9047829,283.55934794938275,283.5593479493828,283.55934794938275,0.7473752993955902,0.9883366150779008,1.723267487206924,28.0,8.0,65.0
64,31421197.48677645,121811341.35013206,288825737.9047829,283.55934794938275,283.5593479493828,283.55934794938275,0.7473752993955902,0.9772915684973748,1.723267487206924,28.74,8.0,65.0
65,28560431.812652845,119407830.18245065,313820938.304624,283.55934794938275,283.5593479493828,283.55934794938275,0.7449055122526269,0.9698838403491381,1.3920252865994451,28.2,8.0,69.0
66,28560431.812652845,126036963.30080214,313820938.304624,283.55934794938275,283.5593479493828,283.55934794938275,0.7449055122526269,0.953418084771154,1.3920252865994451,29.62,8.0,69.0
67,28560431.812652845,122853889.12633467,313820938.304624,283.55934794938275,283.5593479493828,283.55934794938275,0.7449055122526269,0.9586919921097419,1.3920252865994451,29.02,8.0,69.0
68,28560431.812652845,120714705.95915428,313820938.304624,283.55934794938275,283.5593479493828,283.55934794938275,0.7449055122526269,0.9616509388012671,1.3920252865994451,28.48,8.0,69.0
69,28560431.812652845,127753064.33779927,320573470.33442736,283.55934794938275,283.5593479493828,283.55934794938275,0.7396513451539177,0.951693309969385,1.3920252865994451,29.92,8.0,71.0
70,28560431.812652845,126995087.37019473,320573470.33442736,283.55934794938275,283.5593479493828,283.55934794938275,0.7396513451539177,0.9560944537081498,1.3920252865994451,29.74,8.0,71.0
71,28560431.812652845,127025422.78283319,320573470.33442736,283.55934794938275,283.5593479493828,283.55934794938275,0.7396513451539177,0.9520484107640663,1.3920252865994451,29.74,8.0,71.0
72,28560431.812652845,124596703.82415678,302202744.9709474,283.55934794938275,283.5593479493828,283.55934794938275,0.739448546882531,0.9557924522694534,1.3920252865994451,29.22,8.0,68.0
